timeStamp	dateFrac	isHoliday	isSunday	cnt	predSimple	predTrig	predHourDay	predHourWeek	predHS	cntMA	predMA	devMA	predDev	alertVal	diffMA
2016-05-08 18:00:00	736092.75	0	1	14722	192403	126540	-22289	65489	80885	0	0	0	11904	0	0
2016-05-08 19:00:00	736092.791667	0	1	69991	192424	66256	-54979	61128	76524	0	0	0	9501	0	0
2016-05-08 20:00:00	736092.833333	0	1	50998	192446	10508	-90206	40313	55709	45237	71039	47129	13453	0	0
2016-05-08 21:00:00	736092.875	0	1	38152	192467	-36902	-108893	25947	41344	53047	57859	6126	4199	0	0
2016-05-08 22:00:00	736092.916667	0	1	23062	192489	-72744	-125759	11668	27064	37404	41372	4919	2687	0	0
2016-05-08 23:00:00	736092.958333	0	1	11660	192511	-94572	-138077	-439	14957	24291	27788	4305	1308	0	0
2016-05-09 00:00:00	736093.0	0	0	9854	192532	-59504	51291	-2482	0	14858	14007	7873	4353	0	0
2016-05-09 01:00:00	736093.041667	0	0	5768	192554	-49895	45417	-7776	0	9094	4985	8403	4891	0	0
2016-05-09 02:00:00	736093.083333	0	0	5888	192575	-25004	44943	-8667	0	7170	0	9084	5834	0	0
2016-05-09 03:00:00	736093.125	0	0	19727	192597	13473	51155	-200	0	10461	0	15117	9964	0	0
2016-05-09 04:00:00	736093.166667	0	0	39987	192618	62917	65376	15590	14150	21867	4716	23359	15052	0	0
2016-05-09 05:00:00	736093.208333	0	0	59583	192640	119960	97394	51871	51322	39765	21824	23716	17467	0	0
2016-05-09 06:00:00	736093.25	0	0	224209	192662	180715	227135	210072	213405	107926	92959	20646	17538	0	0
2016-05-09 07:00:00	736093.291667	0	0	431120	192683	241043	363330	388907	396630	238304	220452	26215	22133	0	0
2016-05-09 08:00:00	736093.333333	0	0	541605	192705	296835	443872	506272	516875	398978	375636	30966	22052	0	0
2016-05-09 09:00:00	736093.375	0	0	597749	192726	344291	492286	571941	584156	523491	499220	31511	25265	0	0
2016-05-09 10:00:00	736093.416667	0	0	530761	192748	380177	448319	507891	518534	556705	539855	21746	24446	0	0
2016-05-09 11:00:00	736093.458333	0	0	520870	192770	402049	438719	490358	500571	549793	534420	19317	25240	0	0
2016-05-09 12:00:00	736093.5	0	0	482656	192791	408419	441087	495072	505401	511429	508168	23225	29705	0	0
2016-05-09 13:00:00	736093.541667	0	0	494768	192813	398854	427998	485197	495283	499431	500418	21559	32626	0	0
2016-05-09 14:00:00	736093.583333	0	0	519625	192834	374007	442007	494685	505004	499016	501896	19122	33441	0	0
2016-05-09 15:00:00	736093.625	0	0	536172	192856	335573	435361	490904	501130	516855	500472	26851	32365	0	0
2016-05-09 16:00:00	736093.666667	0	0	464191	192878	286173	387447	415317	423688	506662	476607	39256	30570	0	0
2016-05-09 17:00:00	736093.708333	0	0	402967	192899	229174	324533	341972	348543	467776	424453	53992	28259	0	0
2016-05-09 18:00:00	736093.75	0	0	179253	192921	168463	174225	156659	158682	348803	310304	50127	25033	0	0
2016-05-09 19:00:00	736093.791667	0	0	103475	192942	108179	141535	105340	106103	228565	204442	41182	19870	0	0
2016-05-09 20:00:00	736093.833333	0	0	58091	192964	52431	106308	59953	59602	113606	108129	14702	12126	0	0
