timeStamp	dateFrac	cntDev	predDev
2016-05-08 18:00:00	736092.75	0	11904
2016-05-08 19:00:00	736092.791667	0	9501
2016-05-08 20:00:00	736092.833333	47129	13453
2016-05-08 21:00:00	736092.875	6126	4199
2016-05-08 22:00:00	736092.916667	4919	2687
2016-05-08 23:00:00	736092.958333	4305	1308
2016-05-09 00:00:00	736093.0	7873	4353
2016-05-09 01:00:00	736093.041667	8403	4891
2016-05-09 02:00:00	736093.083333	9084	5834
2016-05-09 03:00:00	736093.125	15117	9964
2016-05-09 04:00:00	736093.166667	23359	15052
2016-05-09 05:00:00	736093.208333	23716	17467
2016-05-09 06:00:00	736093.25	20646	17538
2016-05-09 07:00:00	736093.291667	26215	22133
2016-05-09 08:00:00	736093.333333	30966	22052
2016-05-09 09:00:00	736093.375	31511	25265
2016-05-09 10:00:00	736093.416667	21746	24446
2016-05-09 11:00:00	736093.458333	19317	25240
2016-05-09 12:00:00	736093.5	23225	29705
2016-05-09 13:00:00	736093.541667	21559	32626
2016-05-09 14:00:00	736093.583333	19122	33441
2016-05-09 15:00:00	736093.625	26851	32365
2016-05-09 16:00:00	736093.666667	39256	30570
2016-05-09 17:00:00	736093.708333	53992	28259
2016-05-09 18:00:00	736093.75	50127	25033
2016-05-09 19:00:00	736093.791667	41182	19870
2016-05-09 20:00:00	736093.833333	14702	12126
2016-05-09 21:00:00	736093.875	4420	7731
2016-05-09 22:00:00	736093.916667	6945	6639
2016-05-09 23:00:00	736093.958333	10037	6746
2016-05-10 00:00:00	736094.0	11395	4087
2016-05-10 01:00:00	736094.041667	10598	3922
2016-05-10 02:00:00	736094.083333	8559	3587
2016-05-10 03:00:00	736094.125	14619	7239
2016-05-10 04:00:00	736094.166667	22874	12589
2016-05-10 05:00:00	736094.208333	23770	15255
2016-05-10 06:00:00	736094.25	21435	18065
2016-05-10 07:00:00	736094.291667	18536	24813
2016-05-10 08:00:00	736094.333333	27512	31685
2016-05-10 09:00:00	736094.375	28600	37375
2016-05-10 10:00:00	736094.416667	32452	40296
2016-05-10 11:00:00	736094.458333	32707	43189
2016-05-10 12:00:00	736094.5	32645	48202
2016-05-10 13:00:00	736094.541667	36063	50833
2016-05-10 14:00:00	736094.583333	40125	53674
2016-05-10 15:00:00	736094.625	54170	56531
2016-05-10 16:00:00	736094.666667	72623	57964
2016-05-10 17:00:00	736094.708333	89422	54915
2016-05-10 18:00:00	736094.75	85791	43274
2016-05-10 19:00:00	736094.791667	67037	30253
2016-05-10 20:00:00	736094.833333	31787	15690
2016-05-10 21:00:00	736094.875	14474	8924
2016-05-10 22:00:00	736094.916667	10195	6076
2016-05-10 23:00:00	736094.958333	11988	4735
2016-05-11 00:00:00	736095.0	13211	4528
2016-05-11 01:00:00	736095.041667	11969	4311
2016-05-11 02:00:00	736095.083333	9194	3925
2016-05-11 03:00:00	736095.125	16338	7116
2016-05-11 04:00:00	736095.166667	23792	11691
2016-05-11 05:00:00	736095.208333	23758	14989
2016-05-11 06:00:00	736095.25	20251	15289
2016-05-11 07:00:00	736095.291667	12587	14304
2016-05-11 08:00:00	736095.333333	24714	17810
2016-05-11 09:00:00	736095.375	30553	24475
2016-05-11 10:00:00	736095.416667	35537	26667
2016-05-11 11:00:00	736095.458333	34780	25681
2016-05-11 12:00:00	736095.5	37361	30282
2016-05-11 13:00:00	736095.541667	35783	38813
2016-05-11 14:00:00	736095.583333	30396	42785
2016-05-11 15:00:00	736095.625	25747	43604
2016-05-11 16:00:00	736095.666667	25937	41508
2016-05-11 17:00:00	736095.708333	26938	37437
2016-05-11 18:00:00	736095.75	19983	27966
2016-05-11 19:00:00	736095.791667	11139	16858
2016-05-11 20:00:00	736095.833333	9387	9717
2016-05-11 21:00:00	736095.875	10597	7681
2016-05-11 22:00:00	736095.916667	12737	4086
2016-05-11 23:00:00	736095.958333	12717	2925
2016-05-12 00:00:00	736096.0	13632	4031
2016-05-12 01:00:00	736096.041667	11957	4288
2016-05-12 02:00:00	736096.083333	9455	4066
2016-05-12 03:00:00	736096.125	12990	6451
2016-05-12 04:00:00	736096.166667	22408	10287
2016-05-12 05:00:00	736096.208333	29388	11759
2016-05-12 06:00:00	736096.25	28301	12310
2016-05-12 07:00:00	736096.291667	27161	14298
2016-05-12 08:00:00	736096.333333	27034	26875
2016-05-12 09:00:00	736096.375	25861	40029
2016-05-12 10:00:00	736096.416667	19593	43185
2016-05-12 11:00:00	736096.458333	15921	43535
2016-05-12 12:00:00	736096.5	17608	45884
2016-05-12 13:00:00	736096.541667	29608	50600
2016-05-12 14:00:00	736096.583333	28332	51499
2016-05-12 15:00:00	736096.625	32086	45934
2016-05-12 16:00:00	736096.666667	22892	42276
2016-05-12 17:00:00	736096.708333	26274	36199
2016-05-12 18:00:00	736096.75	22213	29082
2016-05-12 19:00:00	736096.791667	21428	18906
2016-05-12 20:00:00	736096.833333	11318	11422
2016-05-12 21:00:00	736096.875	6277	9165
2016-05-12 22:00:00	736096.916667	3850	8816
2016-05-12 23:00:00	736096.958333	5644	9350
2016-05-13 00:00:00	736097.0	8759	9279
2016-05-13 01:00:00	736097.041667	9341	6849
2016-05-13 02:00:00	736097.083333	9121	4070
2016-05-13 03:00:00	736097.125	12074	6653
2016-05-13 04:00:00	736097.166667	21474	12382
2016-05-13 05:00:00	736097.208333	23899	16935
2016-05-13 06:00:00	736097.25	28750	24683
2016-05-13 07:00:00	736097.291667	33956	33384
2016-05-13 08:00:00	736097.333333	42981	46277
2016-05-13 09:00:00	736097.375	45845	56056
2016-05-13 10:00:00	736097.416667	42838	61451
2016-05-13 11:00:00	736097.458333	31896	60498
2016-05-13 12:00:00	736097.5	29994	56587
2016-05-13 13:00:00	736097.541667	22623	49032
2016-05-13 14:00:00	736097.583333	22539	42316
2016-05-13 15:00:00	736097.625	2050	38036
2016-05-13 16:00:00	736097.666667	9011	35117
2016-05-13 17:00:00	736097.708333	18416	25862
2016-05-13 18:00:00	736097.75	21237	19355
2016-05-13 19:00:00	736097.791667	22778	14225
2016-05-13 20:00:00	736097.833333	17485	10042
2016-05-13 21:00:00	736097.875	16309	6736
2016-05-13 22:00:00	736097.916667	13345	4619
2016-05-13 23:00:00	736097.958333	14807	4394
2016-05-14 00:00:00	736098.0	14791	4753
2016-05-14 01:00:00	736098.041667	13194	4588
2016-05-14 02:00:00	736098.083333	10140	4219
2016-05-14 03:00:00	736098.125	13545	8005
2016-05-14 04:00:00	736098.166667	23131	14037
2016-05-14 05:00:00	736098.208333	25973	17265
2016-05-14 06:00:00	736098.25	29097	19459
2016-05-14 07:00:00	736098.291667	26566	19193
2016-05-14 08:00:00	736098.333333	24361	20516
2016-05-14 09:00:00	736098.375	16427	24172
2016-05-14 10:00:00	736098.416667	6595	25713
2016-05-14 11:00:00	736098.458333	10398	31357
2016-05-14 12:00:00	736098.5	12265	35478
2016-05-14 13:00:00	736098.541667	14405	35136
2016-05-14 14:00:00	736098.583333	14175	32431
2016-05-14 15:00:00	736098.625	18254	29001
2016-05-14 16:00:00	736098.666667	22348	27870
2016-05-14 17:00:00	736098.708333	19967	23739
2016-05-14 18:00:00	736098.75	15036	19424
2016-05-14 19:00:00	736098.791667	2073	16328
2016-05-14 20:00:00	736098.833333	4073	14835
2016-05-14 21:00:00	736098.875	8350	12307
2016-05-14 22:00:00	736098.916667	10497	9204
2016-05-14 23:00:00	736098.958333	13321	5153
2016-05-15 00:00:00	736099.0	11300	3551
2016-05-15 01:00:00	736099.041667	9358	2473
2016-05-15 02:00:00	736099.083333	3126	268
2016-05-15 03:00:00	736099.125	5806	1408
2016-05-15 04:00:00	736099.166667	10526	5085
2016-05-15 05:00:00	736099.208333	12046	8187
2016-05-15 06:00:00	736099.25	13345	9020
2016-05-15 07:00:00	736099.291667	17226	11083
2016-05-15 08:00:00	736099.333333	21978	11316
2016-05-15 09:00:00	736099.375	24554	12874
2016-05-15 10:00:00	736099.416667	24597	11288
2016-05-15 11:00:00	736099.458333	21936	9804
2016-05-15 12:00:00	736099.5	20052	7751
2016-05-15 13:00:00	736099.541667	19801	7660
2016-05-15 14:00:00	736099.583333	21855	10612
2016-05-15 15:00:00	736099.625	26406	13244
2016-05-15 16:00:00	736099.666667	28114	14729
2016-05-15 17:00:00	736099.708333	28334	13930
2016-05-15 18:00:00	736099.75	23045	12641
2016-05-15 19:00:00	736099.791667	17887	10238
2016-05-15 20:00:00	736099.833333	13542	14189
2016-05-15 21:00:00	736099.875	12874	4935
2016-05-15 22:00:00	736099.916667	9826	3423
2016-05-15 23:00:00	736099.958333	6083	2044
2016-05-16 00:00:00	736100.0	1705	-14691
2016-05-16 01:00:00	736100.041667	583	-14152
2016-05-16 02:00:00	736100.083333	0	-13209
2016-05-16 03:00:00	736100.125	0	-9079
2016-05-16 04:00:00	736100.166667	0	-3991
2016-05-16 05:00:00	736100.208333	0	-1577
2016-05-16 06:00:00	736100.25	0	-1505
2016-05-16 07:00:00	736100.291667	0	3089
2016-05-16 08:00:00	736100.333333	0	3008
2016-05-16 09:00:00	736100.375	0	6221
2016-05-16 10:00:00	736100.416667	0	5402
2016-05-16 11:00:00	736100.458333	0	6196
2016-05-16 12:00:00	736100.5	0	10661
2016-05-16 13:00:00	736100.541667	0	13581
